8,7.95,8.48
8.29,7.97,7.71
2.92,2.92,2.89
2.25,2.25,2.22
0.99,1.00,1.00
0.94,0.89,0.92
0.81,0.81,0.82
0.78,0.78,0.76
0.69,0.68,0.68
0.66,0.64,0.63
